movieId,m_id1,m_id2,m_id3,m_id4,m_id5,m_id6,m_id7,m_id8,m_id9,m_id10,m_id11,m_id12,m_id13,m_id14,m_id15,m_id16,m_id17,m_id18,m_id19,m_id20,m_id21,m_id22,m_id23,m_id24,m_id25,m_id26,m_id27,m_id28,m_id29,m_id30,m_id31,m_id32,m_id33,m_id34,m_id35,m_id36,m_id37,m_id38,m_id39,m_id40,m_id41,m_id42,m_id43,m_id44,m_id45,m_id46,m_id47,m_id48,m_id49,m_id50,m_id51,m_id52,m_id53,m_id54,m_id55,m_id56,m_id57,m_id58,m_id59,m_id60,m_id61,m_id62,m_id63,m_id64,m_id65,m_id66,m_id67,m_id68,m_id69,m_id70,m_id71,m_id72,m_id73,m_id74,m_id75,m_id76,m_id77,m_id78,m_id79,m_id80,m_id81,m_id82,m_id83,m_id84,m_id85,m_id86,m_id87,m_id88,m_id89,m_id90,m_id91,m_id92,m_id93,m_id94,m_id95,m_id96,m_id97,m_id98,m_id99,m_id100
27618,34323.0,36509.0,60291.0,65126.0,74851.0,60979.0,74685.0,50147.0,74075.0,60538.0,33834.0,60522.0,66427.0,66783.0,57536.0,57910.0,44828.0,40723.0,71500.0,71379.0,71211.0,70994.0,60037.0,38992.0,69275.0,69251.0,37475.0,59727.0,37382.0,33132.0,50440.0,51498.0,77364.0,45361.0,50800.0,54785.0,54648.0,80846.0,78041.0,53468.0,51091.0,79274.0,53127.0,56145.0,56012.0,32011.0,27788.0,53435.0,43921.0,33437.0,57274.0,44397.0,45081.0,31427.0,56339.0,73929.0,35957.0,33085.0,59604.0,43932.0,30894.0,44731.0,27839.0,59306.0,78266.0,51709.0,78574.0,71156.0,68205.0,42013.0,43871.0,61248.0,62511.0,60941.0,44929.0,61026.0,68486.0,54881.0,65188.0,42725.0,73268.0,60161.0,51412.0,39400.0,44840.0,61705.0,78088.0,58332.0,42011.0,43928.0,68952.0,71254.0,79057.0,45726.0,34534.0,56715.0,44004.0,31420.0,44761.0,48322.0
27788,45440.0,34323.0,27618.0,75985.0,36509.0,56145.0,32011.0,95761.0,110330.0,71304.0,99437.0,142456.0,86721.0,91470.0,63276.0,98607.0,50842.0,95690.0,107630.0,93855.0,92694.0,149830.0,131920.0,91947.0,58301.0,142509.0,100882.0,73488.0,40148.0,94931.0,161966.0,141408.0,167790.0,164881.0,162082.0,160563.0,159717.0,158783.0,152284.0,152083.0,151695.0,151455.0,149902.0,149146.0,149144.0,133217.0,117466.0,139855.0,84952.0,60538.0,60291.0,69251.0,40723.0,50147.0,50440.0,37382.0,51498.0,60037.0,74685.0,54648.0,59727.0,51091.0,45361.0,69275.0,54785.0,74075.0,44828.0,65126.0,70994.0,38992.0,57910.0,71211.0,79274.0,33834.0,71379.0,57536.0,33132.0,80846.0,66427.0,50800.0,66783.0,74851.0,37475.0,60979.0,71500.0,53468.0,77364.0,60522.0,78041.0,78218.0,69516.0,147142.0,142420.0,131749.0,155064.0,161634.0,79553.0,53127.0,89190.0,43921.0
27821,34334.0,49910.0,42009.0,44399.0,43917.0,37739.0,34534.0,49524.0,39307.0,42730.0,44709.0,37727.0,47644.0,31700.0,31420.0,32596.0,31225.0,32017.0,39231.0,41769.0,37853.0,37477.0,58876.0,34129.0,40851.0,38798.0,48596.0,42728.0,43556.0,33639.0,45208.0,48161.0,49284.0,50005.0,50158.0,50445.0,51698.0,51933.0,52283.0,52712.0,33815.0,57526.0,31867.0,32019.0,33148.0,71252.0,32589.0,39435.0,58627.0,34271.0,49793.0,70334.0,50923.0,70301.0,58105.0,51082.0,57326.0,31223.0,31431.0,59985.0,40946.0,49220.0,73515.0,36533.0,81512.0,49276.0,32029.0,34536.0,50798.0,34072.0,48593.0,45662.0,33158.0,51937.0,67186.0,45442.0,43904.0,62792.0,40414.0,61352.0,72731.0,39449.0,54256.0,61705.0,64034.0,59126.0,47044.0,50068.0,33660.0,40826.0,66198.0,32009.0,44731.0,43932.0,30894.0,43919.0,27839.0,71823.0,66509.0,43836.0
27839,43932.0,30894.0,44731.0,44397.0,61705.0,51937.0,45442.0,33158.0,67186.0,62511.0,43904.0,53127.0,42013.0,43871.0,71254.0,68952.0,32011.0,43928.0,45726.0,36509.0,43917.0,40826.0,51412.0,32017.0,44840.0,44972.0,32298.0,45210.0,35957.0,40278.0,33834.0,37382.0,79274.0,45361.0,38992.0,71379.0,80846.0,44828.0,74075.0,40723.0,57910.0,70994.0,54648.0,65126.0,57536.0,59727.0,60037.0,60291.0,60538.0,54785.0,71211.0,51498.0,51091.0,74685.0,50440.0,50147.0,69251.0,33132.0,69275.0,50923.0,73515.0,70334.0,36533.0,58105.0,57326.0,58627.0,59985.0,39435.0,51082.0,40946.0,49220.0,49793.0,81512.0,71252.0,70301.0,31431.0,31223.0,32589.0,34271.0,71500.0,53468.0,37475.0,77364.0,60522.0,74851.0,66427.0,50800.0,60979.0,66783.0,78041.0,37853.0,52712.0,50445.0,34129.0,48596.0,31867.0,50005.0,57526.0,52283.0,49284.0
27904,48043.0,45728.0,69784.0,62511.0,92535.0,66297.0,44840.0,77866.0,112515.0,115122.0,144976.0,121231.0,54259.0,36525.0,44397.0,64285.0,44731.0,30894.0,27839.0,43932.0,56012.0,61323.0,46970.0,39427.0,61705.0,53519.0,67087.0,67186.0,51937.0,45442.0,33158.0,53127.0,61240.0,53894.0,52328.0,54995.0,78209.0,86377.0,37380.0,47640.0,31225.0,45726.0,55995.0,47997.0,51255.0,71282.0,53972.0,86347.0,60161.0,59387.0,46335.0,51412.0,42013.0,78574.0,43871.0,66509.0,55292.0,54256.0,48385.0,40732.0,79592.0,57528.0,52281.0,96737.0,67997.0,33421.0,37240.0,46572.0,71379.0,74685.0,40723.0,80846.0,65126.0,71211.0,70994.0,69275.0,37382.0,38992.0,69251.0,45361.0,44828.0,79274.0,74075.0,57910.0,33132.0,60291.0,54648.0,50440.0,33834.0,60037.0,50147.0,59727.0,51498.0,57536.0,54785.0,51091.0,60538.0,77364.0,78041.0,60522.0
30793,45722.0,53125.0,41566.0,74789.0,37729.0,40815.0,45499.0,56757.0,45447.0,56775.0,45517.0,73017.0,46972.0,41569.0,60040.0,59784.0,34150.0,111360.0,114180.0,53464.0,50872.0,45186.0,60072.0,106072.0,33794.0,86880.0,53996.0,44022.0,89753.0,68793.0,53121.0,94777.0,78469.0,60756.0,106487.0,32587.0,79293.0,33615.0,34162.0,65802.0,72378.0,60074.0,88140.0,55290.0,49649.0,65088.0,86332.0,53322.0,40819.0,67734.0,162606.0,91542.0,89492.0,38038.0,58025.0,62081.0,69526.0,111362.0,56367.0,33679.0,31685.0,135569.0,135133.0,91500.0,71535.0,116823.0,72641.0,34048.0,107348.0,61024.0,60684.0,62434.0,33836.0,108190.0,84944.0,87430.0,79592.0,54001.0,72011.0,104211.0,85414.0,56171.0,59615.0,33162.0,79702.0,108729.0,44972.0,45672.0,46965.0,82854.0,90249.0,67197.0,91485.0,33493.0,61323.0,117590.0,59315.0,47518.0,46335.0,48385.0
30894,43932.0,27839.0,44731.0,44397.0,61705.0,51937.0,45442.0,33158.0,67186.0,62511.0,43904.0,53127.0,42013.0,43871.0,71254.0,68952.0,32011.0,43928.0,45726.0,36509.0,43917.0,40826.0,51412.0,32017.0,44840.0,44972.0,32298.0,45210.0,35957.0,40278.0,33834.0,37382.0,79274.0,45361.0,38992.0,71379.0,80846.0,44828.0,74075.0,40723.0,57910.0,70994.0,54648.0,65126.0,57536.0,59727.0,60037.0,60291.0,60538.0,54785.0,71211.0,51498.0,51091.0,74685.0,50440.0,50147.0,69251.0,33132.0,69275.0,50923.0,73515.0,70334.0,36533.0,58105.0,57326.0,58627.0,59985.0,39435.0,51082.0,40946.0,49220.0,49793.0,81512.0,71252.0,70301.0,31431.0,31223.0,32589.0,34271.0,71500.0,53468.0,37475.0,77364.0,60522.0,74851.0,66427.0,50800.0,60979.0,66783.0,78041.0,37853.0,52712.0,50445.0,34129.0,48596.0,31867.0,50005.0,57526.0,52283.0,49284.0
31221,78893.0,97470.0,96121.0,165549.0,33677.0,92192.0,127323.0,113345.0,130576.0,87522.0,129937.0,80839.0,115231.0,67197.0,62081.0,100498.0,65802.0,71530.0,130490.0,82169.0,85131.0,65088.0,70361.0,101362.0,68793.0,58627.0,59985.0,70334.0,40946.0,34271.0,36533.0,51082.0,71252.0,50923.0,81512.0,70301.0,58105.0,49220.0,32589.0,49793.0,73515.0,57326.0,39435.0,31223.0,31431.0,51933.0,31867.0,42728.0,33148.0,48596.0,37853.0,50005.0,50445.0,50158.0,43556.0,48161.0,57526.0,41769.0,51698.0,52712.0,52283.0,37477.0,32019.0,40851.0,49284.0,38798.0,34129.0,39231.0,58876.0,45208.0,33639.0,33815.0,69526.0,58299.0,46530.0,49276.0,79293.0,93363.0,55276.0,86817.0,85056.0,44399.0,50798.0,69278.0,91485.0,90249.0,42009.0,48593.0,45662.0,33158.0,67186.0,51937.0,45442.0,41569.0,46972.0,43904.0,53972.0,53996.0,40414.0,61352.0
31223,70301.0,39435.0,57326.0,59985.0,34271.0,50923.0,51082.0,70334.0,36533.0,49793.0,58105.0,81512.0,73515.0,49220.0,58627.0,71252.0,32589.0,40946.0,31431.0,31867.0,33148.0,52712.0,42728.0,50005.0,45208.0,50158.0,33639.0,58876.0,48161.0,52283.0,50445.0,33815.0,57526.0,41769.0,40851.0,34129.0,37477.0,43556.0,39231.0,38798.0,32019.0,48596.0,51933.0,37853.0,49284.0,51698.0,49276.0,50798.0,44399.0,42009.0,48593.0,45662.0,51937.0,45442.0,67186.0,33158.0,43904.0,40414.0,61352.0,62792.0,49910.0,39449.0,72731.0,54256.0,61705.0,64034.0,59126.0,43917.0,40826.0,66198.0,34334.0,34321.0,48412.0,33499.0,33164.0,34532.0,43932.0,71823.0,30894.0,32009.0,43836.0,43919.0,66509.0,44731.0,69306.0,27839.0,39427.0,50601.0,71518.0,55280.0,58839.0,34336.0,71464.0,62511.0,79224.0,44972.0,32298.0,51575.0,51931.0,72489.0
31225,31420.0,37739.0,43928.0,43917.0,62511.0,34534.0,36525.0,44840.0,37727.0,61352.0,40414.0,62792.0,49910.0,54256.0,61705.0,42009.0,45442.0,33158.0,51937.0,67186.0,32596.0,34334.0,66509.0,43932.0,27839.0,44731.0,30894.0,44399.0,47644.0,32017.0,44397.0,27821.0,49276.0,55995.0,40278.0,47640.0,45726.0,43904.0,32029.0,52328.0,71282.0,34536.0,65982.0,43921.0,51412.0,42013.0,43871.0,40826.0,34271.0,58105.0,58627.0,39435.0,57326.0,40946.0,81512.0,36533.0,31431.0,31223.0,51082.0,32589.0,70301.0,49220.0,50923.0,70334.0,59985.0,71252.0,49793.0,73515.0,51933.0,52283.0,37477.0,50005.0,45208.0,41769.0,57526.0,51698.0,37853.0,40851.0,38798.0,50158.0,52712.0,48161.0,50445.0,43556.0,42728.0,39231.0,48596.0,34129.0,49284.0,32019.0,33815.0,58876.0,31867.0,33639.0,33148.0,56012.0,36527.0,64497.0,71254.0,68952.0
