userId,m_id1,m_id2,m_id3,m_id4,m_id5,m_id6,m_id7,m_id8,m_id9,m_id10,m_id11,m_id12,m_id13,m_id14,m_id15,m_id16,m_id17,m_id18,m_id19,m_id20,m_id21,m_id22,m_id23,m_id24,m_id25,m_id26,m_id27,m_id28,m_id29,m_id30,m_id31,m_id32,m_id33,m_id34,m_id35,m_id36,m_id37,m_id38,m_id39,m_id40,m_id41,m_id42,m_id43,m_id44,m_id45,m_id46,m_id47,m_id48,m_id49,m_id50,m_id51,m_id52,m_id53,m_id54,m_id55,m_id56,m_id57,m_id58,m_id59,m_id60,m_id61,m_id62,m_id63,m_id64,m_id65,m_id66,m_id67,m_id68,m_id69,m_id70,m_id71,m_id72,m_id73,m_id74,m_id75,m_id76,m_id77,m_id78,m_id79,m_id80,m_id81,m_id82,m_id83,m_id84,m_id85,m_id86,m_id87,m_id88,m_id89,m_id90,m_id91,m_id92,m_id93,m_id94,m_id95,m_id96,m_id97,m_id98,m_id99,m_id100
2,58559.0,79132.0,68157.0,91529.0,48516.0,68954.0,99114.0,33794.0,109487.0,48780.0,54286.0,60069.0,74458.0,44191.0,59315.0,72998.0,69122.0,49272.0,80463.0,70286.0,106782.0,109374.0,48394.0,32587.0,73017.0,51662.0,122904.0,89745.0,63082.0,64614.0,122882.0,111759.0,48774.0,112852.0,55820.0,96079.0,50872.0,134853.0,116797.0,56367.0,91542.0,78499.0,46578.0,91500.0,71535.0,115617.0,81845.0,79702.0,57669.0,139385.0,134130.0,55247.0,87232.0,122886.0,51255.0,60684.0,69844.0,119145.0,68358.0,112552.0,81591.0,53125.0,115713.0,35836.0,54503.0,56174.0,48385.0,45722.0,40815.0,54001.0,91658.0,59784.0,112556.0,77561.0,88125.0,56782.0,55765.0,152081.0,104841.0,52973.0,47099.0,46976.0,112183.0,47610.0,33493.0,76093.0,81834.0,84152.0,68237.0,64839.0,85414.0,45517.0,61323.0,54272.0,49530.0,63113.0,44665.0,40819.0,108932.0,51540.0
3,72378.0,79132.0,46578.0,69481.0,72641.0,78499.0,50872.0,38038.0,60074.0,47099.0,64839.0,64716.0,74458.0,97938.0,45499.0,56775.0,116797.0,58559.0,79702.0,70286.0,64957.0,60040.0,72011.0,109487.0,97921.0,56152.0,30793.0,79592.0,73321.0,44022.0,112852.0,164179.0,59315.0,66934.0,73017.0,104841.0,56757.0,53125.0,34150.0,61323.0,55290.0,106072.0,44191.0,79293.0,76251.0,72998.0,111362.0,59784.0,80489.0,45186.0,116823.0,68791.0,53996.0,53322.0,81564.0,122904.0,51662.0,33794.0,36529.0,44199.0,34048.0,33615.0,60126.0,68954.0,36519.0,117176.0,55765.0,69757.0,53972.0,78469.0,134853.0,91630.0,52975.0,68358.0,88140.0,122926.0,40819.0,57669.0,51540.0,63859.0,64614.0,48516.0,74789.0,109374.0,68793.0,81845.0,110102.0,53464.0,54286.0,52604.0,56367.0,53121.0,59615.0,45672.0,59369.0,60684.0,58998.0,103141.0,52973.0,55267.0
7,33794.0,32587.0,58559.0,49272.0,44191.0,48516.0,33493.0,48780.0,51662.0,59315.0,54286.0,79132.0,45499.0,50872.0,45722.0,48394.0,55820.0,48774.0,49530.0,40815.0,72998.0,41566.0,68954.0,60069.0,33679.0,30793.0,34048.0,68157.0,69122.0,46578.0,63082.0,44199.0,44665.0,56367.0,35836.0,51255.0,70286.0,91529.0,34405.0,40819.0,68358.0,34162.0,48385.0,53125.0,45517.0,60684.0,54272.0,54001.0,73017.0,46976.0,41569.0,44195.0,57669.0,38061.0,54503.0,39183.0,55765.0,59369.0,56174.0,54997.0,63113.0,53996.0,78499.0,52973.0,74458.0,45447.0,47099.0,71535.0,47610.0,36529.0,31685.0,37733.0,64614.0,59784.0,34150.0,80463.0,89745.0,91500.0,109374.0,96079.0,53322.0,99114.0,87232.0,39292.0,45186.0,69481.0,37741.0,33615.0,81591.0,37729.0,33004.0,56782.0,69844.0,41997.0,53972.0,77561.0,58998.0,51540.0,60040.0,52722.0
10,58559.0,79132.0,68954.0,33794.0,54286.0,91529.0,48516.0,72998.0,59315.0,49272.0,44191.0,60069.0,48780.0,68157.0,51662.0,69122.0,50872.0,32587.0,99114.0,56367.0,70286.0,78499.0,109487.0,81845.0,73017.0,40815.0,63082.0,89745.0,74458.0,45722.0,53125.0,109374.0,112852.0,48394.0,69844.0,91500.0,35836.0,80463.0,122904.0,46578.0,96079.0,71535.0,48774.0,54001.0,134853.0,52973.0,87232.0,41566.0,33493.0,59784.0,106782.0,115617.0,69757.0,122882.0,47099.0,68358.0,31685.0,76093.0,30793.0,49530.0,91542.0,55820.0,111759.0,79702.0,34162.0,72641.0,88125.0,81834.0,77561.0,33679.0,45517.0,60684.0,81591.0,54503.0,59369.0,63113.0,116797.0,122886.0,51255.0,40819.0,64614.0,45499.0,57669.0,119145.0,46976.0,45447.0,44665.0,54272.0,33615.0,64957.0,79091.0,48385.0,95510.0,134130.0,56174.0,55247.0,139385.0,106696.0,58998.0,37729.0
12,40629.0,58559.0,81845.0,56367.0,68954.0,79132.0,72998.0,40815.0,51662.0,60069.0,69844.0,63992.0,81847.0,88810.0,59369.0,69757.0,49286.0,48774.0,31685.0,63082.0,45722.0,79091.0,80549.0,72641.0,70286.0,44191.0,48394.0,49272.0,33794.0,40819.0,88125.0,59315.0,116797.0,48516.0,58803.0,69122.0,46578.0,67255.0,45447.0,56949.0,51705.0,50872.0,78772.0,76093.0,55820.0,62155.0,49530.0,54001.0,64983.0,69406.0,41566.0,45720.0,64957.0,64614.0,58047.0,34162.0,68135.0,89745.0,91529.0,35836.0,91104.0,55247.0,91500.0,47099.0,39183.0,61024.0,33493.0,86833.0,106696.0,52973.0,45499.0,63113.0,55052.0,56757.0,54503.0,80463.0,72407.0,112852.0,76251.0,73017.0,72737.0,32587.0,86882.0,41573.0,53125.0,54286.0,71535.0,45517.0,56782.0,134853.0,67788.0,79702.0,72011.0,88163.0,52245.0,33672.0,88405.0,65216.0,96821.0,65585.0
15,58559.0,79132.0,68954.0,60069.0,109487.0,59315.0,72998.0,91529.0,48780.0,33794.0,99114.0,68157.0,48516.0,44191.0,54286.0,89745.0,70286.0,122904.0,49272.0,112852.0,74458.0,50872.0,69122.0,111759.0,109374.0,51662.0,73017.0,115617.0,122882.0,116797.0,32587.0,69844.0,96079.0,48774.0,78499.0,71535.0,80463.0,91500.0,122886.0,134853.0,87232.0,33493.0,106782.0,76093.0,68358.0,48394.0,63082.0,134130.0,53125.0,40815.0,79702.0,56367.0,119145.0,55820.0,81845.0,91542.0,56174.0,77561.0,60684.0,46578.0,59784.0,45722.0,64614.0,88125.0,54001.0,51255.0,81834.0,47099.0,112552.0,139385.0,57669.0,152081.0,104841.0,54503.0,48385.0,108932.0,115713.0,55247.0,84152.0,35836.0,63113.0,81591.0,72641.0,59369.0,47610.0,79091.0,97938.0,52973.0,30793.0,69757.0,41566.0,85414.0,68237.0,112556.0,55765.0,33615.0,49530.0,98809.0,45517.0,96610.0
16,58559.0,79132.0,68954.0,33794.0,60069.0,91529.0,48516.0,68157.0,59315.0,54286.0,48780.0,72998.0,109487.0,48394.0,44191.0,99114.0,49272.0,70286.0,69122.0,32587.0,78499.0,74458.0,51662.0,122904.0,50872.0,89745.0,115617.0,48774.0,73017.0,68358.0,80463.0,56367.0,69844.0,112852.0,63082.0,71535.0,109374.0,134853.0,91500.0,96079.0,55820.0,106782.0,111759.0,76093.0,81845.0,64614.0,122882.0,40815.0,53125.0,45722.0,122886.0,116797.0,87232.0,54001.0,46578.0,57669.0,79702.0,91542.0,51255.0,60684.0,33493.0,77561.0,59784.0,88125.0,35836.0,81591.0,81834.0,69757.0,48385.0,134130.0,47099.0,54503.0,63113.0,56174.0,52973.0,152081.0,45517.0,46976.0,108932.0,44665.0,119145.0,49530.0,72641.0,95510.0,30793.0,91658.0,139385.0,76251.0,115713.0,79091.0,59369.0,55247.0,64839.0,54272.0,34162.0,31685.0,47610.0,33679.0,55765.0,66097.0
17,58559.0,79132.0,33794.0,48516.0,68954.0,68157.0,91529.0,60069.0,48780.0,54286.0,59315.0,44191.0,48394.0,32587.0,99114.0,49272.0,72998.0,109487.0,51662.0,69122.0,74458.0,70286.0,50872.0,55820.0,48774.0,78499.0,80463.0,63082.0,73017.0,56367.0,89745.0,122904.0,68358.0,45722.0,71535.0,46578.0,33493.0,112852.0,57669.0,64614.0,115617.0,91500.0,40815.0,106782.0,35836.0,69844.0,53125.0,111759.0,109374.0,96079.0,51255.0,60684.0,122882.0,54001.0,81845.0,54503.0,134853.0,91542.0,79702.0,44665.0,49530.0,59784.0,48385.0,56174.0,81591.0,76093.0,52973.0,87232.0,45517.0,116797.0,30793.0,54272.0,55247.0,122886.0,55765.0,34162.0,41566.0,77561.0,46976.0,56782.0,45499.0,63113.0,88125.0,47099.0,33679.0,64839.0,59369.0,47610.0,40819.0,134130.0,139385.0,81834.0,76251.0,115713.0,72641.0,91658.0,119145.0,45447.0,34405.0,69481.0
18,58559.0,79132.0,33794.0,68954.0,48516.0,59315.0,44191.0,48780.0,68157.0,91529.0,72998.0,54286.0,49272.0,60069.0,99114.0,109487.0,32587.0,51662.0,50872.0,74458.0,89745.0,69122.0,70286.0,73017.0,122904.0,112852.0,48774.0,109374.0,48394.0,33493.0,45722.0,53125.0,40815.0,71535.0,80463.0,69844.0,56367.0,122882.0,111759.0,46578.0,55820.0,96079.0,63082.0,91500.0,78499.0,106782.0,68358.0,115617.0,51255.0,60684.0,35836.0,87232.0,54001.0,116797.0,59784.0,134853.0,91542.0,81845.0,54503.0,76093.0,79702.0,64614.0,122886.0,48385.0,56174.0,77561.0,41566.0,52973.0,57669.0,47099.0,119145.0,30793.0,49530.0,63113.0,81834.0,88125.0,134130.0,54272.0,59369.0,55247.0,45499.0,81591.0,46976.0,44665.0,45517.0,34405.0,47610.0,33679.0,55765.0,112552.0,104841.0,34162.0,139385.0,84152.0,79091.0,45447.0,72641.0,85414.0,31685.0,152081.0
21,58559.0,79132.0,68954.0,33794.0,72998.0,59315.0,60069.0,91529.0,48780.0,54286.0,44191.0,48516.0,50872.0,68157.0,49272.0,99114.0,109487.0,51662.0,112852.0,89745.0,69122.0,73017.0,122904.0,32587.0,70286.0,74458.0,69844.0,45722.0,53125.0,40815.0,109374.0,71535.0,115617.0,78499.0,91500.0,33493.0,96079.0,56367.0,68358.0,80463.0,87232.0,54001.0,111759.0,122882.0,48774.0,59784.0,91542.0,81845.0,35836.0,134853.0,106782.0,76093.0,79702.0,119145.0,77561.0,81834.0,122886.0,63082.0,41566.0,116797.0,60684.0,48394.0,46578.0,56174.0,30793.0,88125.0,54503.0,79091.0,51255.0,52973.0,134130.0,33679.0,54272.0,48385.0,64614.0,63113.0,45517.0,55820.0,47099.0,69757.0,45499.0,108932.0,31685.0,49530.0,152081.0,59369.0,57669.0,34162.0,33615.0,81591.0,72641.0,139385.0,45447.0,34405.0,86332.0,104841.0,88140.0,96610.0,53996.0,84152.0
