userId,m_id1,m_id2,m_id3,m_id4,m_id5,m_id6,m_id7,m_id8,m_id9,m_id10,m_id11,m_id12,m_id13,m_id14,m_id15,m_id16,m_id17,m_id18,m_id19,m_id20
2,131724.0,122882.0,106782.0,89774.0,80906.0,60756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,70946.0,7991.0,6835.0,5919.0,5746.0,5181.0,4518.0,3703.0,2851.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5618.0,3869.0,2529.0,2019.0,1584.0,1270.0,1240.0,1219.0,593.0,480.0,466.0,356.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,140110.0,136020.0,96079.0,92259.0,91529.0,81845.0,79091.0,71579.0,49286.0,49272.0,33794.0,8869.0,8533.0,7458.0,0.0,0.0,0.0,0.0,0.0,0.0
12,63992.0,40629.0,8533.0,6942.0,3668.0,2717.0,2581.0,2572.0,2485.0,2072.0,1721.0,1357.0,838.0,256.0,222.0,168.0,0.0,0.0,0.0,0.0
15,166528.0,152077.0,122886.0,84152.0,33493.0,5989.0,4995.0,4720.0,3578.0,3510.0,3156.0,3147.0,2150.0,2011.0,2001.0,1270.0,1214.0,1210.0,1200.0,1196.0
16,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,7099.0,6350.0,5952.0,5618.0,2571.0,1732.0,1240.0,1210.0,1206.0,1201.0,1196.0,858.0,356.0,318.0,296.0,260.0,0.0,0.0,0.0,0.0
18,1221.0,1209.0,1203.0,1201.0,923.0,318.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,47997.0,7573.0,5872.0,3082.0,2706.0,2012.0,2011.0,1722.0,1270.0,370.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,49272.0,7438.0,3489.0,1952.0,1193.0,541.0,356.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,187593.0,180095.0,177593.0,122912.0,116797.0,91529.0,79132.0,68954.0,68157.0,60069.0,58559.0,7153.0,5952.0,4993.0,3578.0,2571.0,2028.0,1198.0,527.0,260.0
28,72998.0,53123.0,7842.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,82459.0,68237.0,27611.0,5995.0,3578.0,2028.0,1617.0,1408.0,1272.0,1250.0,1201.0,953.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,122904.0,115617.0,112852.0,111759.0,109487.0,96821.0,95510.0,93510.0,91529.0,79132.0,68954.0,68358.0,60069.0,59315.0,58559.0,33794.0,7153.0,5952.0,4993.0,2571.0
34,45499.0,27801.0,8636.0,6874.0,6711.0,6618.0,6539.0,6333.0,5349.0,4446.0,3996.0,3793.0,2273.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
41,116897.0,104879.0,87869.0,55820.0,7438.0,7293.0,7173.0,6874.0,6763.0,6287.0,4878.0,4848.0,4816.0,4022.0,3948.0,2712.0,2160.0,1721.0,1259.0,1258.0
45,54272.0,53322.0,50872.0,33679.0,33493.0,8665.0,8528.0,8360.0,7173.0,6539.0,6377.0,6365.0,6333.0,6287.0,5989.0,5630.0,5528.0,5502.0,5500.0,5418.0
47,112804.0,112552.0,51931.0,47423.0,3147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,60487.0,60074.0,59615.0,56367.0,54001.0,51662.0,48877.0,48774.0,47997.0,42723.0,39183.0,34338.0,8874.0,8533.0,8464.0,7983.0,7569.0,7438.0,7160.0,7000.0
52,152081.0,134853.0,134130.0,122904.0,122900.0,122886.0,122882.0,112852.0,112138.0,110501.0,96811.0,95167.0,93721.0,89745.0,86892.0,79132.0,76093.0,73017.0,70286.0,69122.0
55,48516.0,27831.0,4011.0,3275.0,2542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,58559.0,858.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,185135.0,176601.0,174053.0,172591.0,168252.0,150548.0,128360.0,115149.0,114935.0,109487.0,109374.0,106489.0,99114.0,96821.0,91542.0,91529.0,81845.0,79132.0,74789.0,73017.0
63,134853.0,115617.0,111781.0,108932.0,106696.0,102217.0,98491.0,97913.0,92535.0,92494.0,91529.0,89904.0,89753.0,86290.0,79702.0,77800.0,77455.0,58559.0,57669.0,51255.0
64,30810.0,27773.0,27523.0,8917.0,8874.0,8376.0,8014.0,6385.0,6377.0,6188.0,5690.0,5673.0,5010.0,4973.0,4380.0,4235.0,4128.0,3608.0,3535.0,3362.0
65,55247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8874.0,8665.0,8636.0,7438.0,7153.0,7147.0,7018.0,6874.0,6711.0,6708.0,5952.0,5902.0,5747.0,5673.0,5617.0,5464.0,5418.0,5299.0,4993.0,4306.0
67,27193.0,8604.0,1527.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,134130.0,122882.0,102445.0,93510.0,91500.0,81834.0,79132.0,76093.0,74946.0,72998.0,71535.0,70183.0,69069.0,67618.0,66934.0,64969.0,59369.0,58998.0,58559.0,55118.0
70,63082.0,8949.0,3468.0,3361.0,3359.0,1302.0,1300.0,1293.0,1246.0,1210.0,1193.0,1172.0,953.0,858.0,527.0,36.0,0.0,0.0,0.0,0.0
72,4973.0,2571.0,318.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,152081.0,122892.0,115617.0,112852.0,111362.0,110102.0,109374.0,106072.0,102445.0,99114.0,96079.0,91542.0,91529.0,87232.0,86833.0,86332.0,78499.0,73017.0,71535.0,68358.0
74,55444.0,55276.0,55118.0,48698.0,48516.0,46578.0,41997.0,31522.0,27773.0,26350.0,8838.0,8804.0,8154.0,7323.0,7234.0,6993.0,6791.0,6787.0,6666.0,6591.0
75,4993.0,3681.0,2078.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,34405.0,8957.0,1213.0,1136.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,58559.0,33794.0,8961.0,8636.0,7153.0,5952.0,5816.0,5378.0,5349.0,4993.0,3996.0,3578.0,2571.0,1210.0,1198.0,1196.0,260.0,0.0,0.0,0.0
78,2791.0,1240.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,94864.0,91658.0,86190.0,80831.0,59369.0,58559.0,54286.0,48780.0,47610.0,44665.0,44199.0,33794.0,8950.0,8798.0,8665.0,6952.0,6754.0,6059.0,5418.0,5064.0
83,79132.0,58559.0,53318.0,48774.0,7323.0,6016.0,4973.0,3578.0,3159.0,2028.0,1682.0,1258.0,1246.0,1225.0,1222.0,924.0,916.0,318.0,0.0,0.0
86,33679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,58559.0,48394.0,8950.0,7153.0,5952.0,4993.0,1884.0,1732.0,1193.0,318.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,158882.0,158398.0,157775.0,157296.0,156025.0,150554.0,149566.0,149508.0,149350.0,147410.0,146684.0,143559.0,143031.0,142444.0,141928.0,140133.0,139640.0,136834.0,136503.0,136359.0
91,8874.0,8636.0,7387.0,7360.0,6857.0,6820.0,6659.0,6539.0,5349.0,4678.0,4306.0,3837.0,3740.0,3703.0,3429.0,3300.0,3081.0,3070.0,2761.0,2571.0
92,2572.0,837.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,187593.0,177765.0,164179.0,122926.0,122916.0,122912.0,116797.0,109487.0,97921.0,88163.0,81845.0,81564.0,74458.0,60126.0,55267.0,50872.0,47099.0,46578.0,38038.0,8961.0
103,148626.0,134881.0,81932.0,68157.0,64614.0,58559.0,55247.0,8376.0,7438.0,6936.0,6711.0,6016.0,5956.0,4973.0,4881.0,4873.0,4848.0,4262.0,4226.0,4027.0
104,38038.0,7034.0,5991.0,4973.0,4308.0,2671.0,2572.0,1148.0,745.0,595.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,179133.0,175431.0,175397.0,175387.0,175293.0,174551.0,173963.0,173619.0,173355.0,173351.0,172909.0,172793.0,172637.0,172589.0,172587.0,172585.0,172583.0,172577.0,171749.0,171011.0
106,106489.0,99636.0,88125.0,81834.0,73017.0,72998.0,69844.0,59784.0,53125.0,47099.0,45722.0,40815.0,8368.0,7153.0,6539.0,5952.0,4993.0,4896.0,2571.0,318.0
110,26171.0,7096.0,4973.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,162344.0,160271.0,148626.0,134368.0,131013.0,128914.0,128520.0,122904.0,119145.0,111617.0,106782.0,104925.0,102903.0,98083.0,93510.0,87529.0,85367.0,81156.0,80139.0,79134.0
112,109487.0,91529.0,58559.0,7153.0,5952.0,4993.0,3147.0,2571.0,2028.0,1917.0,1210.0,1198.0,1196.0,780.0,480.0,260.0,50.0,47.0,32.0,0.0
